429833940;41.18247;-8.597282;-0.1500509;0.7187697
429833942;41.18267;-8.597509;-0.1500548;0.7187732
429833945;41.18327;-8.598266;-0.150068;0.7187837
429833953;41.18362;-8.598844;-0.1500781;0.7187898
429833958;41.18461;-8.600794;-0.1501122;0.7188071
429833960;41.18526;-8.6017;-0.150128;0.7188185
430006694;41.17848;-8.598961;-0.1500802;0.7187001
430006697;41.18023;-8.60515;-0.1501882;0.7187306
430012028;41.17644;-8.597821;-0.1500603;0.7186644
430012030;41.17681;-8.599139;-0.1500833;0.7186708
430267079;41.18339;-8.60111;-0.1501177;0.7187858
430267080;41.18415;-8.600995;-0.1501157;0.7187991
430267081;41.18479;-8.601053;-0.1501167;0.7188101
430267082;41.18452;-8.601066;-0.1501169;0.7188055
430273244;41.18375;-8.598812;-0.1500776;0.718792
430273258;41.18493;-8.598196;-0.1500668;0.7188125
430273261;41.1841;-8.598788;-0.1500772;0.7187982
430284836;41.18379;-8.611817;-0.1503046;0.7187927
431615494;41.18403;-8.601019;-0.1501161;0.7187969
431615495;41.18493;-8.601224;-0.1501197;0.7188125
431925048;41.1829;-8.599344;-0.1500869;0.7187772
431947934;41.18509;-8.594526;-0.1500028;0.7188154
432578781;41.17725;-8.599599;-0.1500913;0.7186787
432578826;41.17699;-8.596059;-0.1500295;0.718674
432578827;41.17694;-8.595888;-0.1500265;0.7186733
432578828;41.17692;-8.595286;-0.1500161;0.7186729
432862420;41.185;-8.597392;-0.1500528;0.7188139
432862422;41.18414;-8.598321;-0.150069;0.7187988
432862423;41.18469;-8.597448;-0.1500538;0.7188085
433073103;41.18446;-8.596932;-0.1500448;0.7188045
433073106;41.18479;-8.596334;-0.1500343;0.7188101
435240906;41.1778;-8.598452;-0.1500713;0.7186882
435240914;41.17772;-8.59849;-0.150072;0.7186868
435240917;41.17704;-8.594302;-0.1499989;0.7186748
435240959;41.17719;-8.594288;-0.1499986;0.7186776
435759029;41.18412;-8.603379;-0.1501573;0.7187986
435759031;41.18478;-8.603116;-0.1501527;0.7188101
444004614;41.18451;-8.607109;-0.1502224;0.7188052
444004615;41.18444;-8.606974;-0.15022;0.7188042
444004616;41.1843;-8.606813;-0.1502172;0.7188017
444004617;41.18414;-8.606757;-0.1502163;0.7187988
444004618;41.18397;-8.60683;-0.1502175;0.7187958
444004619;41.18386;-8.607044;-0.1502213;0.718794
444004620;41.18384;-8.607374;-0.150227;0.7187936
444004652;41.1838;-8.611238;-0.1502945;0.718793
444004676;41.17524;-8.60748;-0.1502289;0.7186435
444004677;41.17546;-8.607607;-0.1502311;0.7186474
444004678;41.17561;-8.607677;-0.1502323;0.71865
444004679;41.17587;-8.60769;-0.1502325;0.7186544
444004680;41.17619;-8.6076;-0.150231;0.7186601
444004681;41.17648;-8.607414;-0.1502277;0.7186651
444004682;41.17696;-8.607053;-0.1502214;0.7186736
444004683;41.17703;-8.60705;-0.1502214;0.7186747
444026518;41.18132;-8.596098;-0.1500302;0.7187496
444026520;41.181;-8.595908;-0.1500269;0.7187441
444026522;41.1804;-8.595502;-0.1500198;0.7187337
444026524;41.18005;-8.595274;-0.1500158;0.7187275
444026527;41.18057;-8.595032;-0.1500116;0.7187365
444026528;41.1812;-8.595437;-0.1500187;0.7187476
446308238;41.18375;-8.602789;-0.150147;0.718792
446308240;41.18383;-8.603377;-0.1501573;0.7187935
506111738;41.17867;-8.597974;-0.1500629;0.7187034
506111741;41.17841;-8.59417;-0.1499965;0.7186988
506111742;41.17839;-8.593723;-0.1499888;0.7186985
519337747;41.17844;-8.606433;-0.1502106;0.7186993
738940435;41.18438;-8.600332;-0.1501041;0.718803
738940473;41.18377;-8.59911;-0.1500828;0.7187923
